iter	Passed	Remaining
569	19600	14786
570	19629	14748
571	19657	14708
572	19688	14671
573	19717	14633
574	19742	14592
575	19772	14554
576	19802	14517
577	19828	14476
578	19855	14437
579	19883	14398
580	19907	14356
581	19936	14318
582	19964	14279
583	19988	14238
584	20014	14198
585	20039	14157
586	20066	14118
587	20091	14078
588	20117	14037
589	20143	13998
590	20169	13958
591	20195	13918
592	20220	13878
593	20247	13838
594	20271	13798
595	20296	13758
596	20320	13716
597	20347	13678
598	20375	13640
599	20400	13600
600	20427	13561
601	20452	13521
602	20480	13483
603	20503	13442
604	20530	13404
605	20555	13364
606	20583	13326
607	20610	13288
608	20635	13248
609	20660	13208
610	20685	13169
611	20711	13130
612	20736	13091
613	20763	13053
614	20794	13017
615	20825	12982
616	20852	12944
617	20880	12906
618	20907	12868
619	20933	12830
620	20960	12792
621	20987	12754
622	21012	12715
623	21039	12677
624	21064	12638
625	21091	12600
626	21115	12561
627	21144	12524
628	21171	12487
629	21197	12449
630	21226	12412
631	21255	12376
632	21282	12339
633	21312	12303
634	21341	12266
635	21366	12228
636	21396	12192
637	21426	12157
638	21453	12119
639	21480	12082
640	21508	12046
641	21537	12010
642	21561	11971
643	21589	11934
644	21617	11898
645	21642	11859
646	21668	11822
647	21691	11782
648	21716	11744
649	21740	11706
650	21763	11667
651	21788	11629
652	21815	11592
653	21841	11555
654	21866	11517
655	21893	11480
656	21921	11444
657	21950	11408
658	21974	11370
659	21998	11332
660	22024	11295
661	22050	11258
662	22077	11221
663	22102	11184
664	22127	11146
665	22153	11109
666	22179	11073
667	22202	11034
668	22227	10997
669	22249	10958
670	22274	10921
671	22299	10884
672	22326	10848
673	22351	10810
674	22378	10774
675	22404	10738
676	22436	10704
677	22464	10669
678	22495	10634
679	22522	10598
680	22548	10562
681	22580	10528
682	22610	10494
683	22638	10458
684	22663	10421
685	22689	10385
686	22713	10348
687	22740	10312
688	22766	10276
689	22791	10239
690	22821	10205
691	22846	10168
692	22871	10132
693	22896	10095
694	22923	10059
695	22947	10022
696	22972	9986
697	22995	9949
698	23025	9915
699	23051	9879
700	23076	9842
701	23103	9807
702	23129	9771
703	23159	9737
704	23185	9701
705	23213	9666
706	23241	9632
707	23272	9598
708	23302	9564
709	23333	9530
710	23363	9496
711	23391	9461
712	23420	9427
713	23449	9392
714	23475	9357
715	23503	9322
716	23532	9288
717	23559	9253
718	23583	9217
719	23607	9180
720	23633	9145
721	23661	9110
722	23689	9075
723	23717	9041
724	23741	9005
725	23770	8971
726	23796	8935
727	23823	8901
728	23850	8866
729	23880	8832
730	23906	8797
731	23934	8762
732	23962	8728
733	23989	8693
734	24017	8659
735	24043	8624
736	24071	8589
737	24098	8555
738	24124	8520
739	24151	8485
740	24177	8450
741	24202	8415
742	24229	8380
743	24254	8345
744	24281	8311
745	24307	8276
746	24330	8240
747	24357	8205
748	24382	8170
749	24412	8137
750	24435	8101
751	24462	8067
752	24488	8032
753	24513	7997
754	24542	7964
755	24567	7929
756	24593	7894
757	24621	7860
758	24644	7825
759	24668	7790
760	24695	7755
761	24723	7721
762	24752	7688
763	24778	7654
764	24808	7620
765	24836	7587
766	24862	7552
767	24889	7518
768	24914	7484
769	24945	7451
770	24969	7416
771	24995	7382
772	25023	7348
773	25050	7314
774	25076	7280
775	25103	7246
776	25129	7212
777	25156	7178
778	25181	7143
779	25209	7110
780	25235	7076
781	25264	7042
782	25288	7008
783	25333	6979
784	25358	6945
785	25385	6911
786	25413	6878
787	25438	6843
788	25467	6810
789	25491	6776
790	25521	6743
791	25547	6709
792	25572	6675
793	25602	6642
794	25628	6608
795	25653	6574
796	25679	6540
797	25703	6506
798	25732	6473
799	25756	6439
800	25783	6405
801	25811	6372
802	25835	6338
803	25860	6304
804	25888	6271
805	25915	6237
806	25943	6204
807	25971	6171
808	26000	6138
809	26028	6105
810	26053	6071
811	26081	6038
812	26108	6005
813	26133	5971
814	26159	5937
815	26181	5903
816	26206	5869
817	26232	5836
818	26260	5803
819	26286	5770
820	26313	5736
821	26338	5703
822	26364	5670
823	26390	5636
824	26417	5603
825	26445	5570
826	26470	5537
827	26496	5504
828	26524	5471
829	26550	5438
830	26577	5404
831	26601	5371
832	26628	5338
833	26653	5305
834	26677	5271
835	26704	5238
836	26728	5205
837	26757	5172
838	26782	5139
839	26809	5106
840	26834	5073
841	26861	5040
842	26890	5007
843	26915	4974
844	26942	4942
845	26970	4909
